txid	host_txids	host_names	diseases
438782	214697	Musa acuminata AAA Group	
1241371	36095	Haliotis diversicolor	
491893	37770	Haliotis diversicolor aquatilis	
11788	10090	Mus musculus	
2025595	201501	Epirrita autumnata	
665102	145753;4100;3630	Nicotiana benthamiana;Abutilon;Malva parviflora	
1312723	1312722	Abutilon permolle	
932071	3630	Abutilon	
1046572	145753;4100;108377;243762;3630	Blainvillea rhomboidea;Sida rhombifolia;Malva parviflora;Abutilon;Nicotiana benthamiana	
10815	4097;145753;4100;2059498;81866	Callianthe sellowiana;Malva parviflora;Nicotiana tabacum;Nicotiana clevelandii;Nicotiana benthamiana	
554168	5757;5755	Acanthamoeba castellanii;Acanthamoeba polyphaga	
212035	5757;5755	Acanthamoeba castellanii;Acanthamoeba polyphaga	
1269028	5757	Acanthamoeba polyphaga	
322019	554066	Chlorella heliozoae	
1168547	136180	Acartia tonsa	
185639	6997;7067;2755281	Zophobas morio;Tenebrio molitor;Acheta domesticus	
1404345	6995;6994	Gryllidae;Ensifera	
1291515	6997	Acheta domesticus	
1261100	77214	Eidolon helvum	
1261101	77214	Eidolon helvum	
1977403	2148	Acholeplasma laidlawii	
1589747	85698	Achromobacter xylosoxidans	
1416009	85698	Achromobacter xylosoxidans	
1416008	85698	Achromobacter xylosoxidans	
1589748	85698	Achromobacter xylosoxidans	
1589746	85698	Achromobacter xylosoxidans	
2767570	85698	Achromobacter xylosoxidans	
2591403	1389935	Achromobacter animicus	
1610509	85698	Achromobacter xylosoxidans	
1664246	85698	Achromobacter xylosoxidans	
1664247	85698	Achromobacter xylosoxidans	
2796514	217203	Achromobacter spanius	
2591039	85698	Achromobacter xylosoxidans	
2591041	85698	Achromobacter xylosoxidans	
2591042	85698	Achromobacter xylosoxidans	
2591043	85698	Achromobacter xylosoxidans	
2591048	85698	Achromobacter xylosoxidans	
437444	269667	Acidianus convivator	
1732173	2281	Sulfolobales	
1732174	2281	Sulfolobales	
300186	315458	Acidianus sp. F28	
346881	315461	Acidianus sp. Acii25	
346882	269667	Acidianus convivator	
346883	269667	Acidianus convivator	
346884	269667	Acidianus convivator	
512792	518068;269667	Acidianus uzoniensis;Acidianus convivator	
309181	315460	Acidianus sp. Acii26	
1732175	1	root	
693629	41673	Acidianus brierleyi	
1797140	1	root	
315953	269667	Acidianus convivator	
1229761	637389	Acidithiobacillus caldus ATCC 51756	
2010329	80869	Acidovorax citrulli	
889876	470	Acinetobacter baumannii	
1273713	470	Acinetobacter baumannii	
2500826	470	Acinetobacter baumannii	
1235824	470	Acinetobacter baumannii	
2015804	470	Acinetobacter baumannii	
2500827	470	Acinetobacter baumannii	
762660	472;469	Acinetobacter;Acinetobacter sp.	
760732	40214	Acinetobacter johnsonii	
760939	40214	Acinetobacter johnsonii	
2178927	470	Acinetobacter baumannii	
154784	70347	Acinetobacter genomosp. 16BJ	
1187128	470	Acinetobacter baumannii	
1647373	470	Acinetobacter baumannii	
1735582	470	Acinetobacter baumannii	
1458669	470	Acinetobacter baumannii	
2301662	470	Acinetobacter baumannii	
1970374	470;62977;400667;28090	Acinetobacter baumannii;Acinetobacter baumannii ATCC 17978;Acinetobacter baylyi ADP1;Acinetobacter lwoffii	
1792222	470	Acinetobacter baumannii	
1406779	470	Acinetobacter baumannii	
691318	470	Acinetobacter baumannii	
1698439	470	Acinetobacter baumannii	
1229760	487316	Acinetobacter soli	
1406780	470	Acinetobacter baumannii	
1916127	470	Acinetobacter baumannii	
2053604	470	Acinetobacter baumannii	
2059857	470	Acinetobacter baumannii	
1243183	470	Acinetobacter baumannii	
1481186	470	Acinetobacter baumannii	
2686308	470	Acinetobacter baumannii	
2315466	470	Acinetobacter baumannii	
2315467	470	Acinetobacter baumannii	
2315458	470	Acinetobacter baumannii	
2686290	470	Acinetobacter baumannii	
2686303	470	Acinetobacter baumannii	
2666257	470	Acinetobacter baumannii	
2686289	470	Acinetobacter baumannii	
1837876	470	Acinetobacter baumannii	
1605379	470	Acinetobacter baumannii	
2690230	470	Acinetobacter baumannii	
2315468	470	Acinetobacter baumannii	
1481187	470	Acinetobacter baumannii	
1932886	470	Acinetobacter baumannii	
1932885	470	Acinetobacter baumannii	
2315601	470	Acinetobacter baumannii	
2016049	470;1217645	Acinetobacter baumannii;Acinetobacter baumannii NIPH 2061	
